datetime,cpu,mem
Thu Jul 23 17:45:23 UTC 2020,63,4739199
Thu Jul 23 17:45:27 UTC 2020,63,4755608
Thu Jul 23 17:45:32 UTC 2020,66,4779415
Thu Jul 23 17:45:36 UTC 2020,66,4818024
Thu Jul 23 17:45:40 UTC 2020,66,4818030
Thu Jul 23 17:45:45 UTC 2020,66,4817195
Thu Jul 23 17:45:49 UTC 2020,66,4782956
Thu Jul 23 17:45:53 UTC 2020,66,4851065
Thu Jul 23 17:45:58 UTC 2020,67,4864425
Thu Jul 23 17:46:02 UTC 2020,67,4710130
Thu Jul 23 17:46:06 UTC 2020,67,4704685
Thu Jul 23 17:46:11 UTC 2020,67,4757582
Thu Jul 23 17:46:15 UTC 2020,65,4704576
Thu Jul 23 17:46:19 UTC 2020,65,4782405
Thu Jul 23 17:46:24 UTC 2020,66,4767815
Thu Jul 23 17:46:28 UTC 2020,66,4756889
Thu Jul 23 17:46:32 UTC 2020,64,4803570
Thu Jul 23 17:46:37 UTC 2020,64,4808702
Thu Jul 23 17:46:41 UTC 2020,59,4799603
Thu Jul 23 17:46:45 UTC 2020,59,4847901
Thu Jul 23 17:46:50 UTC 2020,60,4854985
Thu Jul 23 17:46:54 UTC 2020,60,4856357
Thu Jul 23 17:46:58 UTC 2020,59,4861197
Thu Jul 23 17:47:03 UTC 2020,59,4759458
Thu Jul 23 17:47:07 UTC 2020,75,4727211
Thu Jul 23 17:47:12 UTC 2020,75,4758597
Thu Jul 23 17:47:16 UTC 2020,71,4776884
Thu Jul 23 17:47:21 UTC 2020,71,4800745
Thu Jul 23 17:47:25 UTC 2020,65,4791631
Thu Jul 23 17:47:30 UTC 2020,65,4828718
Thu Jul 23 17:47:34 UTC 2020,62,4846325
Thu Jul 23 17:47:38 UTC 2020,62,4828253
Thu Jul 23 17:47:43 UTC 2020,66,4827448
Thu Jul 23 17:47:47 UTC 2020,66,4647678
