datetime,cpu,mem
Thu Jul 23 17:58:30 UTC 2020,62,4644096
Thu Jul 23 17:58:34 UTC 2020,58,4675145
Thu Jul 23 17:58:38 UTC 2020,58,4658384
Thu Jul 23 17:58:42 UTC 2020,57,4683864
Thu Jul 23 17:58:46 UTC 2020,57,4727584
Thu Jul 23 17:58:50 UTC 2020,56,4699796
Thu Jul 23 17:58:55 UTC 2020,56,4724710
Thu Jul 23 17:58:59 UTC 2020,59,4700810
Thu Jul 23 17:59:03 UTC 2020,59,4745042
Thu Jul 23 17:59:07 UTC 2020,57,4722726
Thu Jul 23 17:59:11 UTC 2020,57,4762545
Thu Jul 23 17:59:15 UTC 2020,57,4739139
Thu Jul 23 17:59:19 UTC 2020,57,4731893
Thu Jul 23 17:59:24 UTC 2020,56,4703198
Thu Jul 23 17:59:28 UTC 2020,56,4658773
Thu Jul 23 17:59:32 UTC 2020,57,4659371
Thu Jul 23 17:59:36 UTC 2020,57,4672829
Thu Jul 23 17:59:40 UTC 2020,68,4706723
Thu Jul 23 17:59:45 UTC 2020,68,4729375
Thu Jul 23 17:59:49 UTC 2020,63,4726142
Thu Jul 23 17:59:53 UTC 2020,63,4737818
Thu Jul 23 17:59:57 UTC 2020,62,4734643
Thu Jul 23 18:00:01 UTC 2020,62,4777127
Thu Jul 23 18:00:06 UTC 2020,62,4740059
Thu Jul 23 18:00:10 UTC 2020,62,4730910
Thu Jul 23 18:00:14 UTC 2020,63,4831220
Thu Jul 23 18:00:18 UTC 2020,63,4789726
Thu Jul 23 18:00:22 UTC 2020,62,4820098
Thu Jul 23 18:00:26 UTC 2020,62,4696311
Thu Jul 23 18:00:30 UTC 2020,63,4640214
Thu Jul 23 18:00:35 UTC 2020,63,4614318
Thu Jul 23 18:00:39 UTC 2020,60,4667193
Thu Jul 23 18:00:43 UTC 2020,60,4665660
Thu Jul 23 18:00:47 UTC 2020,57,4725147
Thu Jul 23 18:00:51 UTC 2020,57,4705655
Thu Jul 23 18:00:55 UTC 2020,56,4751164
Thu Jul 23 18:00:59 UTC 2020,56,4735025
Thu Jul 23 18:01:03 UTC 2020,58,4604683
