datetime,cpu,mem
Thu Jul 23 15:15:14 UTC 2020,71,4657501
Thu Jul 23 15:15:18 UTC 2020,71,4705535
Thu Jul 23 15:15:23 UTC 2020,70,4548303
Thu Jul 23 15:15:27 UTC 2020,70,4555228
Thu Jul 23 15:15:31 UTC 2020,69,4584363
Thu Jul 23 15:15:36 UTC 2020,69,4616391
Thu Jul 23 15:15:40 UTC 2020,69,4631088
Thu Jul 23 15:15:45 UTC 2020,69,4578824
Thu Jul 23 15:15:49 UTC 2020,69,4647411
Thu Jul 23 15:15:53 UTC 2020,69,4704507
Thu Jul 23 15:15:58 UTC 2020,69,4708456
Thu Jul 23 15:16:02 UTC 2020,69,4594017
Thu Jul 23 15:16:07 UTC 2020,69,4648425
Thu Jul 23 15:16:11 UTC 2020,69,4668775
Thu Jul 23 15:16:15 UTC 2020,69,4654851
Thu Jul 23 15:16:20 UTC 2020,69,4564862
Thu Jul 23 15:16:24 UTC 2020,68,4538615
Thu Jul 23 15:16:28 UTC 2020,68,4563324
Thu Jul 23 15:16:33 UTC 2020,68,4580297
Thu Jul 23 15:16:37 UTC 2020,68,4597596
Thu Jul 23 15:16:42 UTC 2020,68,4554232
Thu Jul 23 15:16:46 UTC 2020,68,4602038
Thu Jul 23 15:16:50 UTC 2020,69,4644622
Thu Jul 23 15:16:55 UTC 2020,69,4661654
Thu Jul 23 15:16:59 UTC 2020,74,4670914
Thu Jul 23 15:17:03 UTC 2020,74,4714260
Thu Jul 23 15:17:08 UTC 2020,73,4595933
Thu Jul 23 15:17:12 UTC 2020,73,4572978
Thu Jul 23 15:17:17 UTC 2020,72,4607799
Thu Jul 23 15:17:21 UTC 2020,72,4670562
Thu Jul 23 15:17:26 UTC 2020,75,4610213
Thu Jul 23 15:17:30 UTC 2020,75,4607618
Thu Jul 23 15:17:35 UTC 2020,75,4643419
Thu Jul 23 15:17:39 UTC 2020,75,4627760
Thu Jul 23 15:17:44 UTC 2020,69,4646128
Thu Jul 23 15:17:48 UTC 2020,69,4594635
Thu Jul 23 15:17:52 UTC 2020,68,4447696
