datetime,cpu,mem
Thu Jul 23 15:31:35 UTC 2020,62,4671873
Thu Jul 23 15:31:40 UTC 2020,61,4697165
Thu Jul 23 15:31:44 UTC 2020,61,4698728
Thu Jul 23 15:31:48 UTC 2020,60,4703799
Thu Jul 23 15:31:53 UTC 2020,60,4627257
Thu Jul 23 15:31:57 UTC 2020,67,4522469
Thu Jul 23 15:32:01 UTC 2020,67,4613358
Thu Jul 23 15:32:06 UTC 2020,69,4558169
Thu Jul 23 15:32:10 UTC 2020,69,4597737
Thu Jul 23 15:32:14 UTC 2020,68,4637023
Thu Jul 23 15:32:19 UTC 2020,68,4623490
Thu Jul 23 15:32:23 UTC 2020,70,4717745
Thu Jul 23 15:32:27 UTC 2020,70,4630064
Thu Jul 23 15:32:32 UTC 2020,69,4582883
Thu Jul 23 15:32:36 UTC 2020,69,4620108
Thu Jul 23 15:32:40 UTC 2020,68,4718433
Thu Jul 23 15:32:45 UTC 2020,68,4719817
Thu Jul 23 15:32:49 UTC 2020,69,4573646
Thu Jul 23 15:32:54 UTC 2020,69,4579797
Thu Jul 23 15:32:58 UTC 2020,70,4579913
Thu Jul 23 15:33:02 UTC 2020,70,4712268
Thu Jul 23 15:33:07 UTC 2020,61,4642249
Thu Jul 23 15:33:11 UTC 2020,61,4632995
Thu Jul 23 15:33:15 UTC 2020,62,4631583
Thu Jul 23 15:33:20 UTC 2020,62,4674840
Thu Jul 23 15:33:24 UTC 2020,61,4703432
Thu Jul 23 15:33:28 UTC 2020,64,4743105
Thu Jul 23 15:33:33 UTC 2020,64,4642217
Thu Jul 23 15:33:37 UTC 2020,61,4750865
Thu Jul 23 15:33:41 UTC 2020,61,4666078
Thu Jul 23 15:33:45 UTC 2020,62,4673752
Thu Jul 23 15:33:50 UTC 2020,62,4700110
Thu Jul 23 15:33:54 UTC 2020,61,4685703
Thu Jul 23 15:33:58 UTC 2020,61,4568800
