datetime,cpu,mem
Thu Jul 23 16:11:51 UTC 2020,68,4880822
Thu Jul 23 16:11:56 UTC 2020,68,4750697
Thu Jul 23 16:12:00 UTC 2020,74,4871668
Thu Jul 23 16:12:04 UTC 2020,74,4814450
Thu Jul 23 16:12:09 UTC 2020,70,4774132
Thu Jul 23 16:12:13 UTC 2020,70,4893997
Thu Jul 23 16:12:17 UTC 2020,70,4887814
Thu Jul 23 16:12:22 UTC 2020,70,4731833
Thu Jul 23 16:12:26 UTC 2020,69,4748098
Thu Jul 23 16:12:30 UTC 2020,69,4788384
Thu Jul 23 16:12:34 UTC 2020,69,4822646
Thu Jul 23 16:12:39 UTC 2020,69,4836062
Thu Jul 23 16:12:43 UTC 2020,69,4805829
Thu Jul 23 16:12:47 UTC 2020,69,4836485
Thu Jul 23 16:12:52 UTC 2020,69,4847149
Thu Jul 23 16:12:56 UTC 2020,69,4944252
Thu Jul 23 16:13:01 UTC 2020,74,4973395
Thu Jul 23 16:13:05 UTC 2020,74,4949685
Thu Jul 23 16:13:10 UTC 2020,69,5027798
Thu Jul 23 16:13:14 UTC 2020,69,5030534
Thu Jul 23 16:13:18 UTC 2020,70,4963704
Thu Jul 23 16:13:23 UTC 2020,70,4928980
Thu Jul 23 16:13:27 UTC 2020,69,4782728
Thu Jul 23 16:13:31 UTC 2020,69,4863275
Thu Jul 23 16:13:36 UTC 2020,71,4820760
Thu Jul 23 16:13:40 UTC 2020,71,4909350
Thu Jul 23 16:13:44 UTC 2020,69,4857921
Thu Jul 23 16:13:49 UTC 2020,69,4835777
Thu Jul 23 16:13:53 UTC 2020,68,4868203
Thu Jul 23 16:13:57 UTC 2020,68,4916347
Thu Jul 23 16:14:02 UTC 2020,68,4883990
Thu Jul 23 16:14:06 UTC 2020,68,4735184
Thu Jul 23 16:14:10 UTC 2020,68,4772468
Thu Jul 23 16:14:15 UTC 2020,68,4781652
Thu Jul 23 16:14:19 UTC 2020,72,4748769
Thu Jul 23 16:14:24 UTC 2020,72,4701724
Thu Jul 23 16:14:28 UTC 2020,69,4737731
Thu Jul 23 16:14:32 UTC 2020,69,4564223
